matching	feature type	precision	recall	F1
name-threshold	GLCR	1.000	0.950	0.974
name-threshold	HLL	0.917	0.917	0.917
name-threshold	PASS	1.000	0.900	0.947
name-threshold	STM	0.200	0.154	0.174
name-threshold	VAL	0.818	0.900	0.857
name-custom-threshold	GLCR	1.000	0.950	0.974
name-custom-threshold	HLL	0.917	0.917	0.917
name-custom-threshold	PASS	1.000	0.900	0.947
name-custom-threshold	STM	0.412	0.538	0.467
name-custom-threshold	VAL	0.833	1.000	0.909
linear-combination	GLCR	1.000	0.950	0.974
linear-combination	HLL	0.917	0.917	0.917
linear-combination	PASS	1.000	0.900	0.947
linear-combination	STM	0.333	0.308	0.320
linear-combination	VAL	0.818	0.900	0.857
rf-str	GLCR	0.900	0.900	0.900
rf-str	HLL	0.846	0.917	0.880
rf-str	PASS	0.900	0.900	0.900
rf-str	STM	0.353	0.462	0.400
rf-str	VAL	0.875	0.700	0.778
rf-basic-type	GLCR	1.000	0.950	0.974
rf-basic-type	HLL	0.909	0.833	0.870
rf-basic-type	PASS	1.000	1.000	1.000
rf-basic-type	STM	0.800	0.615	0.696
rf-basic-type	VAL	0.769	1.000	0.870
rf-str-type	GLCR	1.000	0.950	0.974
rf-str-type	HLL	0.833	0.833	0.833
rf-str-type	PASS	1.000	1.000	1.000
rf-str-type	STM	0.800	0.615	0.696
rf-str-type	VAL	0.833	1.000	0.909
rf-str-type-lcd	GLCR	1.000	0.950	0.974
rf-str-type-lcd	HLL	0.900	0.750	0.818
rf-str-type-lcd	PASS	1.000	1.000	1.000
rf-str-type-lcd	STM	0.889	0.615	0.727
rf-str-type-lcd	VAL	0.833	1.000	0.909
