run	training_set	combo_name	m	precision	recall	f1	max_recall
1	40	basic	30	0.760	0.832	0.794	0.926
1	40	basic-type	30	0.837	0.811	0.824	0.926
1	40	str-type	30	0.730	0.884	0.800	0.926
1	40	str-type-lcd	30	0.750	0.884	0.812	0.926
1	80	basic	30	0.745	0.768	0.756	0.926
1	80	basic-type	30	0.808	0.884	0.844	0.926
1	80	str-type	30	0.800	0.884	0.840	0.926
1	80	str-type-lcd	30	0.814	0.874	0.843	0.926
1	120	basic	30	0.753	0.737	0.745	0.926
1	120	basic-type	30	0.830	0.874	0.851	0.926
1	120	str-type	30	0.820	0.863	0.841	0.926
1	120	str-type-lcd	30	0.830	0.874	0.851	0.926
1	160	basic	30	0.737	0.768	0.753	0.926
1	160	basic-type	30	0.847	0.874	0.860	0.926
1	160	str-type	30	0.816	0.884	0.848	0.926
1	160	str-type-lcd	30	0.838	0.874	0.856	0.926
1	200	basic	30	0.770	0.811	0.790	0.926
1	200	basic-type	30	0.892	0.874	0.883	0.926
1	200	str-type	30	0.866	0.884	0.875	0.926
1	200	str-type-lcd	30	0.894	0.884	0.889	0.926
1	240	basic	30	0.794	0.811	0.802	0.926
1	240	basic-type	30	0.902	0.874	0.888	0.926
1	240	str-type	30	0.875	0.884	0.880	0.926
1	240	str-type-lcd	30	0.894	0.884	0.889	0.926
1	280	basic	30	0.781	0.789	0.785	0.926
1	280	basic-type	30	0.912	0.874	0.892	0.926
1	280	str-type	30	0.884	0.884	0.884	0.926
1	280	str-type-lcd	30	0.894	0.884	0.889	0.926
1	320	basic	30	0.770	0.811	0.790	0.926
1	320	basic-type	30	0.912	0.874	0.892	0.926
1	320	str-type	30	0.874	0.874	0.874	0.926
1	320	str-type-lcd	30	0.922	0.874	0.897	0.926
2	40	basic	30	0.830	0.768	0.798	0.926
2	40	basic-type	30	0.865	0.811	0.837	0.926
2	40	str-type	30	0.800	0.842	0.821	0.926
2	40	str-type-lcd	30	0.837	0.811	0.824	0.926
2	80	basic	30	0.859	0.768	0.811	0.926
2	80	basic-type	30	0.853	0.853	0.853	0.926
