run	combo_name	k	precision	recall	f1	max_recall
1	basic	30	0.761	0.796	0.778	0.926
1	str	30	0.837	0.759	0.796	0.926
1	basic-type	30	0.882	0.898	0.89	0.926
1	str-type	30	0.86	0.907	0.883	0.926
1	str-elev-lc	30	0.823	0.861	0.842	0.926
1	str-type-lcd	30	0.891	0.907	0.899	0.926
1	all-min	30	0.906	0.889	0.897	0.926
1	all	30	0.857	0.889	0.873	0.926
2	basic	30	0.857	0.85	0.853	0.956
2	str	30	0.852	0.867	0.86	0.956
2	basic-type	30	0.938	0.938	0.938	0.956
2	str-type	30	0.938	0.938	0.938	0.956
2	str-elev-lc	30	0.871	0.894	0.882	0.956
2	str-type-lcd	30	0.937	0.92	0.929	0.956
2	all-min	30	0.937	0.92	0.929	0.956
2	all	30	0.92	0.92	0.92	0.956
3	basic	30	0.83	0.693	0.755	0.874
3	str	30	0.857	0.709	0.776	0.874
3	basic-type	30	0.942	0.772	0.848	0.874
3	str-type	30	0.92	0.811	0.862	0.874
3	str-elev-lc	30	0.873	0.756	0.81	0.874
3	str-type-lcd	30	0.938	0.827	0.879	0.874
3	all-min	30	0.962	0.787	0.866	0.874
3	all	30	0.935	0.795	0.86	0.874
4	basic	30	0.807	0.85	0.828	0.965
4	str	30	0.885	0.814	0.848	0.965
4	basic-type	30	0.921	0.929	0.925	0.965
4	str-type	30	0.921	0.929	0.925	0.965
4	str-elev-lc	30	0.89	0.929	0.909	0.965
4	str-type-lcd	30	0.929	0.92	0.924	0.965
4	all-min	30	0.938	0.929	0.933	0.965
4	all	30	0.92	0.92	0.92	0.965
5	basic	30	0.842	0.756	0.797	0.945
5	str	30	0.88	0.748	0.809	0.945
5	basic-type	30	0.93	0.843	0.884	0.945
5	str-type	30	0.932	0.858	0.893	0.945
5	str-elev-lc	30	0.857	0.803	0.829	0.945
5	str-type-lcd	30	0.924	0.858	0.89	0.945
5	all-min	30	0.923	0.85	0.885	0.945
5	all	30	0.9	0.85	0.874	0.945
6	basic	30	0.899	0.767	0.828	0.897
6	str	30	0.899	0.767	0.828	0.897
6	basic-type	30	0.942	0.836	0.886	0.897
6	str-type	30	0.932	0.828	0.877	0.897
6	str-elev-lc	30	0.897	0.828	0.861	0.897
6	str-type-lcd	30	0.933	0.836	0.882	0.897
6	all-min	30	0.951	0.836	0.89	0.897
6	all	30	0.923	0.828	0.873	0.897
7	basic	30	0.8	0.78	0.79	0.911
7	str	30	0.85	0.829	0.84	0.911
7	basic-type	30	0.939	0.878	0.908	0.911
7	str-type	30	0.957	0.894	0.924	0.911
7	str-elev-lc	30	0.887	0.829	0.857	0.911
7	str-type-lcd	30	0.965	0.894	0.928	0.911
7	all-min	30	0.948	0.886	0.916	0.911
7	all	30	0.94	0.886	0.912	0.911
8	basic	30	0.785	0.931	0.852	0.99
8	str	30	0.839	0.922	0.879	0.99
8	basic-type	30	0.861	0.971	0.912	0.99
8	str-type	30	0.918	0.99	0.953	0.99
8	str-elev-lc	30	0.829	0.902	0.864	0.99
8	str-type-lcd	30	0.952	0.98	0.966	0.99
8	all-min	30	0.91	0.99	0.948	0.99
8	all	30	0.886	0.99	0.935	0.99
9	basic	30	0.881	0.754	0.813	0.915
9	str	30	0.862	0.797	0.828	0.915
9	basic-type	30	0.952	0.839	0.892	0.915
9	str-type	30	0.952	0.847	0.897	0.915
9	str-elev-lc	30	0.861	0.839	0.85	0.915
9	str-type-lcd	30	0.952	0.847	0.897	0.915
9	all-min	30	0.943	0.847	0.893	0.915
9	all	30	0.926	0.847	0.885	0.915
10	basic	30	0.877	0.826	0.851	0.926
10	str	30	0.89	0.802	0.843	0.926
10	basic-type	30	0.963	0.868	0.913	0.926
10	str-type	30	0.964	0.876	0.918	0.926
10	str-elev-lc	30	0.89	0.868	0.879	0.926
10	str-type-lcd	30	0.964	0.876	0.918	0.926
10	all-min	30	0.964	0.876	0.918	0.926
10	all	30	0.929	0.868	0.897	0.926
11	basic	30	0.773	0.742	0.757	0.887
11	str	30	0.85	0.734	0.788	0.887
11	basic-type	30	0.868	0.847	0.857	0.887
11	str-type	30	0.897	0.839	0.867	0.887
11	str-elev-lc	30	0.861	0.798	0.828	0.887
11	str-type-lcd	30	0.912	0.831	0.869	0.887
11	all-min	30	0.912	0.831	0.869	0.887
11	all	30	0.912	0.831	0.869	0.887
12	basic	30	0.838	0.759	0.796	0.905
12	str	30	0.841	0.776	0.807	0.905
12	basic-type	30	0.906	0.828	0.865	0.905
12	str-type	30	0.942	0.845	0.891	0.905
12	str-elev-lc	30	0.864	0.819	0.841	0.905
12	str-type-lcd	30	0.942	0.836	0.886	0.905
12	all-min	30	0.923	0.828	0.873	0.905
12	all	30	0.914	0.828	0.869	0.905
13	basic	30	0.829	0.744	0.784	0.897
13	str	30	0.817	0.727	0.769	0.897
13	basic-type	30	0.925	0.846	0.884	0.897
13	str-type	30	0.942	0.838	0.887	0.897
13	str-elev-lc	30	0.832	0.803	0.817	0.897
13	str-type-lcd	30	0.942	0.838	0.887	0.897
13	all-min	30	0.969	0.812	0.884	0.897
13	all	30	0.923	0.821	0.869	0.897
14	basic	30	0.815	0.822	0.819	0.941
14	str	30	0.856	0.805	0.83	0.941
14	basic-type	30	0.892	0.907	0.899	0.941
14	str-type	30	0.923	0.915	0.919	0.941
14	str-elev-lc	30	0.824	0.873	0.848	0.941
14	str-type-lcd	30	0.93	0.907	0.918	0.941
14	all-min	30	0.939	0.915	0.927	0.941
14	all	30	0.877	0.907	0.892	0.941
15	basic	30	0.813	0.75	0.78	0.871
15	str	30	0.846	0.759	0.8	0.871
15	basic-type	30	0.907	0.845	0.875	0.871
15	str-type	30	0.9	0.853	0.876	0.871
15	str-elev-lc	30	0.862	0.81	0.836	0.871
15	str-type-lcd	30	0.925	0.853	0.888	0.871
